,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
9488,Gujarat,1998,2,9,3,24,1,KASUNDRA MAGANBHAI AMBABHAI,M,BJP,31447,,,69744,113303,JODIYA,GEN,,,5,61.56,45.09,no,1.91,PATEL,INTERMEDIARY CASTE,HINDU,,,2.5,INTERMEDIARY CASTE
9493,Gujarat,1998,2,9,3,25,1,KHATTAR PARMANAND VISHANDAS (PARMAAND,M,BJP,28361,,,55267,128905,JAMNAGAR,GEN,,,10,42.87,51.32,no,13.96,SINDHI,UPPER CASTE,HINDU,,,2.44,UPPER CASTE
9503,Gujarat,1998,2,9,3,26,1,ZALA MANHARBHAI VALJI,M,BJP,37371,,,78835,214156,JAMNAGAR RURAL,SC,,,7,36.81,47.4,no,3.07,OTHER SC,SC,HINDU,,,2.38,SC
9510,Gujarat,1998,2,9,3,27,1,FALDU RANCHHOD CHANABHAI (R.C.FALDU),M,BJP,40450,,,65642,123513,KALAWAD,GEN,,,5,53.15,61.62,no,35.64,OTHER PEASANT OBC,NOT ASCERTAINED,HINDU,,,2.17,NOT ASCERTAINED
9515,Gujarat,1998,2,9,3,28,1,SAPARIYA CHIMANLAL DHARAMSHIBHAI,M,BJP,35953,,,65352,111493,JAMJODHPUR,GEN,,,5,58.62,55.01,no,11.85,PATEL,INTERMEDIARY CASTE,HINDU,,,2.04,INTERMEDIARY CASTE
9520,Gujarat,1998,2,9,3,29,1,BERA MURUBHAI HARADAS,M,BJP,25864,,,57612,101515,BHANVAD,GEN,,,10,56.75,44.89,no,11.95,OTHER SC,NOT ASCERTAINED,HINDU,,,2.86,NOT ASCERTAINED
9530,Gujarat,1998,2,9,3,30,1,CHAVDA KARU NARAN,M,BJP,23039,,,61836,116919,KHAMBHALIA,GEN,,,16,52.89,37.26,no,18.14,RAJPUT,UPPER CASTE,HINDU,,,3.57,UPPER CASTE
9546,Gujarat,1998,2,9,3,31,1,MANEK PABUBHA VIRAMBHA,M,IND,36618,,,74531,128512,DWARKA,GEN,,,8,58.0,49.13,no,7.01,RAJPUT,NOT ASCERTAINED,HINDU,,,2.04,NOT ASCERTAINED
9554,Gujarat,1998,2,9,3,32,1,BOKHIRIYA BABUBHAI BHIMABHAI,M,BJP,39796,,,74411,139174,PORBANDAR,GEN,,,12,53.47,53.48,no,31.77,PATEL,INTERMEDIARY CASTE,HINDU,,,2.7,INTERMEDIARY CASTE
9566,Gujarat,1998,2,9,3,33,1,ODEDARA KARSHAN DULA,M,BJP,33795,,,52617,125122,KUTIYANA,GEN,,,7,42.05,64.23,no,36.03,PATEL,INTERMEDIARY CASTE,HINDU,,,1.96,INTERMEDIARY CASTE
9573,Gujarat,1998,2,9,3,34,1,KARGATIA BHAGVANJI LAKHABHAI,M,BJP,34212,,,72344,136549,MANGROL,GEN,,,5,52.98,47.29,no,7.16,YADAV,OBC PP,HINDU,,,2.56,OBC PP
9578,Gujarat,1998,2,9,3,35,1,SUREJA RATILAL GORDHANBHAI,M,BJP,37817,,,71893,115242,MANAVADAR,GEN,,,8,62.38,52.6,no,9.63,PATEL,INTERMEDIARY CASTE,HINDU,,,2.17,INTERMEDIARY CASTE
9586,Gujarat,1998,2,9,3,36,1,RATHOD SAMATBHAI AALABHAI,M,BJP,41101,,,68272,139244,KESHOD,SC,,,6,49.03,60.2,no,24.83,JATAV,SC,HINDU,,,2.04,SC
9592,Gujarat,1998,2,9,3,37,1,BARAD JASHUBHAI DHANABHAI,M,INC,54769,,,101007,144020,TALALA,GEN,,,3,70.13,54.22,no,19.17,YADAV,OBC PP,HINDU,,,2.38,OBC PP
9595,Gujarat,1998,2,9,3,38,1,GOHEL CHUNILAL KANJI,M,BJP,45187,,,110128,180253,SOMNATH,GEN,,,4,61.1,41.03,no,18.2,OTHER SC,UPPER CASTE,HINDU,,,3.57,UPPER CASTE
9599,Gujarat,1998,2,9,3,39,1,VANSH PUNJABHAI BHIMABHAI,M,INC,50289,,,87471,154757,UNA,GEN,,,6,56.52,57.49,no,19.22,OTHER PEASANT OBC,NOT ASCERTAINED,HINDU,,,2.08,NOT ASCERTAINED
9605,Gujarat,1998,2,9,3,40,1,PATEL KESHUBHAI SAVDAS,M,BJP,52258,,,71196,125919,VISAVADAR,GEN,,,5,56.54,73.4,no,52.98,PATEL,INTERMEDIARY CASTE,HINDU,,,1.69,INTERMEDIARY CASTE
9610,Gujarat,1998,2,9,3,41,1,SOLANKI DEVANANDBHAI SAMATBHAI,M,BJP,41782,,,82500,139190,MALIYA,GEN,,,5,59.27,50.64,no,6.33,OTHER SC,UPPER CASTE,HINDU,,,2.17,UPPER CASTE
9615,Gujarat,1998,2,9,3,42,1,MASHARU MAHENDRABHAI LILADHAR,M,BJP,51137,,,73193,178939,JUNAGADH,GEN,,,5,40.9,69.87,no,49.76,VAISHYA,UPPER CASTE,HINDU,,,1.85,UPPER CASTE
9620,Gujarat,1998,2,9,3,43,1,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,39663,,,73669,116073,BABRA,GEN,,,5,63.47,53.84,no,16.47,PATEL,NOT ASCERTAINED,HINDU,,,2.33,NOT ASCERTAINED
9625,Gujarat,1998,2,9,3,44,1,BHADANI BECHARBHAI VIRJIBHAI,M,BJP,28073,,,62221,99909,LATHI,GEN,,,7,62.28,45.12,no,16.08,SINDHI,NOT ASCERTAINED,HINDU,,,3.03,NOT ASCERTAINED
9632,Gujarat,1998,2,9,3,45,1,RUPALA PARSHOTAMBHAI KHODABHAI,M,BJP,33195,,,68243,117749,AMRELI,GEN,,,4,57.96,48.64,no,11.84,OTHER PEASANT OBC,OBC PP,HINDU,,,2.5,OBC PP
9636,Gujarat,1998,2,9,3,46,1,BALUBHAI TANTI,M,BJP,31450,,,68682,120457,DHARI,GEN,,,8,57.02,45.79,no,20.02,PATEL,NOT ASCERTAINED,HINDU,,,3.12,NOT ASCERTAINED
9644,Gujarat,1998,2,9,3,47,1,SOLANKI DINUBHAI BOGHABHAI,M,BJP,40487,,,77729,123840,KODINAR,GEN,,,7,62.77,52.09,no,25.02,OTHER SC,UPPER CASTE,HINDU,,,2.78,UPPER CASTE
9651,Gujarat,1998,2,9,3,48,1,SOLANKI HIRABHAI ODHAVAJIBHAI,M,BJP,30105,,,69304,116862,RAJULA,GEN,,,6,59.3,43.44,no,17.44,OTHER SC,SC,HINDU,,,3.23,SC
9657,Gujarat,1998,2,9,3,49,1,SAURABH PATEL,M,BJP,45138,,,89311,140961,BOTAD,GEN,,,10,63.36,50.54,no,10.07,PATEL,INTERMEDIARY CASTE,HINDU,,,2.33,INTERMEDIARY CASTE
9667,Gujarat,1998,2,9,3,50,1,ATMARAM MAKANBHAI PARMAR,M,BJP,42911,,,78110,143956,GADHADA,SC,,,5,54.26,54.94,no,17.49,JATAV,SC,HINDU,,,2.27,SC
9672,Gujarat,1998,2,9,3,51,1,GOTI KURJIBHAI RAMJIBHAI,M,BJP,33108,,,72797,122952,PALITANA,GEN,,,8,59.21,45.48,no,18.21,PATEL,NOT ASCERTAINED,HINDU,,,2.94,NOT ASCERTAINED
9681,Gujarat,1998,2,9,3,52,1,KESHUBHAI HIRJIBHAI NAKARANI,M,BJP,42667,,,83011,133576,SIHOR,GEN,,,7,62.15,51.4,no,8.25,SINDHI,NOT ASCERTAINED,HINDU,,,2.22,NOT ASCERTAINED
9687,Gujarat,1998,2,9,3,53,1,VIRANI KALUBHAI VIRJIBHAI,M,BJP,37037,,,64048,129097,KUNDLA,GEN,,,6,49.61,57.83,no,27.18,SINDHI,UPPER CASTE,HINDU,,,2.38,UPPER CASTE
9693,Gujarat,1998,2,9,3,54,1,DR.KANUBHAI KALASARIA,M,BJP,37686,,,66970,127692,MAHUVA,GEN,,,7,52.45,56.27,no,27.74,PATEL,INTERMEDIARY CASTE,HINDU,,,2.44,INTERMEDIARY CASTE
9700,Gujarat,1998,2,9,3,55,1,GOHIL SHEEVABHAI JERAMBHAI (SHEEVABHAI GOHIL),M,BJP,29863,,,59912,124319,TALAJA,GEN,,,6,48.19,49.84,no,31.9,OTHER SC,NOT ASCERTAINED,HINDU,,,2.78,NOT ASCERTAINED
9706,Gujarat,1998,2,9,3,56,1,PARSHOTAMBHAI ODHAVJIBHAI SOLANKI,M,BJP,51705,,,88178,138637,GHOGHO,GEN,,,4,63.6,58.64,no,18.26,OTHER SC,UPPER CASTE,HINDU,,,2.0,UPPER CASTE
9710,Gujarat,1998,2,9,3,57,1,MAHENDRA TRIVEDI,M,BJP,36072,,,81183,156951,BHAVNAGAR NORTH,GEN,,,11,51.73,44.43,no,16.33,BRAHMIN,UPPER CASTE,HINDU,,,2.94,UPPER CASTE
9721,Gujarat,1998,2,9,3,58,1,OZA SUNIL BALKRISHNABHAI (SUNIL OZA),M,BJP,41525,,,90178,169533,BHAVNAGAR SOUTH,GEN,,,4,53.19,46.05,no,10.93,BRAHMIN,UPPER CASTE,HINDU,,,2.78,UPPER CASTE
