,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
10052,Gujarat,1998,2,9,3,106,1,CHAVDA RANJITSINH NARSINH,M,BJP,46806,,,96792,159436,HIMATNAGAR,GEN,,,5,60.71,48.36,no,8.29,RAJPUT,UPPER CASTE,HINDU,,,2.5,UPPER CASTE
10057,Gujarat,1998,2,9,3,107,1,RATHOD DIPSINH SHANKARSINH,M,BJP,37794,,,92462,146281,PRANTIJ,GEN,,,7,63.21,40.88,no,9.34,RAJPUT,OBC PP,HINDU,,,2.94,OBC PP
10064,Gujarat,1998,2,9,3,108,1,PARMAR DILIPSINH VAKHATSINH,M,BJP,45261,,,100803,149206,MODASA,GEN,,,4,67.56,44.9,no,15.31,RAJPUT,OBC PP,HINDU,,,3.03,OBC PP
10068,Gujarat,1998,2,9,3,109,1,DR. PATEL MAHENDRABHAI SOMABHAI,M,BJP,44482,,,92991,125525,BAYAD,GEN,,,4,74.08,47.83,no,5.27,PATEL,INTERMEDIARY CASTE,HINDU,,,2.38,INTERMEDIARY CASTE
10072,Gujarat,1998,2,9,3,110,1,PATEL SHIVABHAI D.,M,INC,36658,,,97005,152136,MEGHRAJ,GEN,,,4,63.76,37.79,no,3.47,PATEL,INTERMEDIARY CASTE,HINDU,,,2.94,INTERMEDIARY CASTE
10076,Gujarat,1998,2,9,3,111,1,DR.BHAMAT MANSINH VALLABHBHAI,M,INC,43005,,,82075,138846,SANTRAMPUR,GEN,,,4,59.11,52.4,no,13.37,,NOT ASCERTAINED,HINDU,,,2.38,NOT ASCERTAINED
10080,Gujarat,1998,2,9,3,112,1,MACHHAR DITABHAI BHIMABHAI,M,INC,48752,,,84611,158903,JHALOD,ST,,,5,53.25,57.62,no,34.29,BHIL,ST,ANIMIST(TRIBAL),,,2.5,ST
10085,Gujarat,1998,2,9,3,113,1,KISHORI BACHUBHAI NATHABHAI,M,INC,33208,,,61652,149528,LIMDI,ST,,,6,41.23,53.86,no,31.32,BHIL,ST,ANIMIST(TRIBAL),,,2.7,ST
10091,Gujarat,1998,2,9,3,114,1,PATEL LALITKUMAR BHAGAWANDAS,M,INC,32007,,,68970,150613,DOHAD,ST,,,6,45.79,46.41,no,4.23,BHIL,ST,ANIMIST(TRIBAL),,,2.5,ST
10097,Gujarat,1998,2,9,3,115,1,PASAYA NAGARSINH GULABSINH,M,INC,29778,,,69300,156227,LIMKHEDA,ST,,,6,44.36,42.97,no,13.11,BHIL,ST,ANIMIST(TRIBAL),,,3.33,ST
10103,Gujarat,1998,2,9,3,116,1,MAHARAUL URVASHIDEVI JAYDIPSINH,F,INC,48657,,,69982,127452,DEVGADH BARIA,GEN,,,4,54.91,69.53,no,45.99,RAJPUT,UPPER CASTE,HINDU,,,1.85,UPPER CASTE
10107,Gujarat,1998,2,9,3,117,1,VAKIL PARMAR LAXMANSINH MOTISINH,M,INC,26993,,,65442,127707,RAJGADH,GEN,,,7,51.24,41.25,no,19.22,RAJPUT,UPPER CASTE,HINDU,,,3.7,UPPER CASTE
10114,Gujarat,1998,2,9,3,118,1,BARIA UDESINH MOHANBHAI,M,INC,37500,,,74447,142599,HALOL,GEN,,,5,52.21,50.37,no,21.0,BHIL,OBC PP,ANIMIST(TRIBAL),,,2.7,OBC PP
10119,Gujarat,1998,2,9,3,119,1,CHAUHAN P.P.,M,BJP,36436,,,75840,135545,KALOL,GEN,,,5,55.95,48.04,no,27.0,RAJPUT,OBC PP,HINDU,,,3.12,OBC PP
10124,Gujarat,1998,2,9,3,120,1,PATEL RAJENDRASINH BALWANTSINH,M,JD,36945,,,102660,171676,GODHRA,GEN,,,6,59.8,35.99,no,10.89,PATEL,INTERMEDIARY CASTE,HINDU,,,3.7,INTERMEDIARY CASTE
10130,Gujarat,1998,2,9,3,121,1,BHARWAD JETHABHAI GHELABHAI,M,SP,41998,,,91105,153462,SHEHRA,GEN,,,7,59.37,46.1,no,24.55,OTHER PEASANT OBC,OBC PP,HINDU,,,3.33,OBC PP
10137,Gujarat,1998,2,9,3,122,1,SOLANKI SURPALSINH HIMATSINH,M,INC,40570,,,94544,145077,LUNAVADA,GEN,,,4,65.17,42.91,no,19.71,RAJPUT,OBC PP,HINDU,,,3.45,OBC PP
10141,Gujarat,1998,2,9,3,123,1,BHABHOR JASWANTSINH SUMANBHAI,M,BJP,36165,,,79623,133748,RANDHIKPUR,ST,,,4,59.53,45.42,no,0.52,OTHER STS,ST,HINDU,,,2.44,ST
10145,Gujarat,1998,2,9,3,124,1,CHAUHAN MANSHINH KOHYABHAI,M,AIRJP,37452,,,76859,126879,BALASINOR,GEN,,,5,60.58,48.73,no,22.85,RAJPUT,OBC PP,HINDU,,,2.94,OBC PP
10150,Gujarat,1998,2,9,3,125,1,BIMAL SHAH,M,BJP,34051,,,88937,149444,KAPADVANJ,GEN,,,9,59.51,38.29,no,6.03,VAISHYA,UPPER CASTE,HINDU,,,3.12,UPPER CASTE
10159,Gujarat,1998,2,9,3,126,1,PARMAR RAMSINH PRABHATBHAI,M,INC,47526,,,98045,158697,THASRA,GEN,,,4,61.78,48.47,no,10.07,RAJPUT,OBC PP,HINDU,,,2.56,OBC PP
10163,Gujarat,1998,2,9,3,127,1,SUBHASH S. SHELAT,M,INC,33777,,,80607,129626,UMRETH,GEN,,,6,62.18,41.9,no,3.07,BRAHMIN,UPPER CASTE,HINDU,,,2.86,UPPER CASTE
10169,Gujarat,1998,2,9,3,128,1,ZALA GAUTAMBHAI JESANGBHAI,M,AIRJP,38802,,,89311,147681,KATHLAL,GEN,,,4,60.48,43.45,no,10.43,RAJPUT,OBC PP,HINDU,,,2.86,OBC PP
10173,Gujarat,1998,2,9,3,129,1,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,33852,,,78749,155000,MEHMEDABAD,GEN,,,6,50.81,42.99,no,15.67,RAJPUT,OBC PP,HINDU,,,3.33,OBC PP
10179,Gujarat,1998,2,9,3,130,1,THAKOR NATVARSINH FULSINH,M,INC,40821,,,83191,148853,MAHUDHA,GEN,,,4,55.89,49.07,no,24.04,KURMI,OBC PP,HINDU,,,2.78,OBC PP
10183,Gujarat,1998,2,9,3,131,1,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,45322,,,85540,160517,NADIAD,GEN,,,3,53.29,52.98,no,15.51,BRAHMIN,INTERMEDIARY CASTE,HINDU,,,2.33,INTERMEDIARY CASTE
10186,Gujarat,1998,2,9,3,132,1,SHANKARBHAI DESAIBHAI VAGHELA,M,INC,46898,,,98047,142106,CHAKALASI,GEN,,,4,69.0,47.83,no,10.69,OTHER SC,OBC PP,HINDU,,,2.56,OBC PP
10190,Gujarat,1998,2,9,3,133,1,PATEL DILIPBHAI MANIBHAI,M,BJP,57506,,,110649,181606,ANAND,GEN,,,4,60.93,51.97,no,9.73,PATEL,INTERMEDIARY CASTE,HINDU,,,2.22,INTERMEDIARY CASTE
10194,Gujarat,1998,2,9,3,134,1,PARMAR GOVINDBHAI RAIJIBHAI,M,INC,36812,,,83706,127227,SARSA,GEN,,,8,65.79,43.98,no,9.53,RAJPUT,OBC PP,HINDU,,,2.86,OBC PP
10202,Gujarat,1998,2,9,3,135,1,PATEL NIRANJAN PARSOTTAMDAS,M,INC,41641,,,84950,134289,PETLAD,GEN,,,3,63.26,49.02,no,1.27,PATEL,INTERMEDIARY CASTE,HINDU,,,2.13,INTERMEDIARY CASTE
10205,Gujarat,1998,2,9,3,136,1,MAKWANA BHARATKUMAR YOGENDRABHAI,M,INC,35204,,,75581,130268,SOJITRA,SC,,,4,58.02,46.58,no,2.66,JATAV,SC,HINDU,,,2.38,SC
10209,Gujarat,1998,2,9,3,137,1,CHAVDA DHIRUBHAI AMARSING,M,INC,29556,,,93885,142053,MATAR,GEN,,,8,66.09,31.48,no,1.53,RAJPUT,OBC PP,HINDU,,,4.0,OBC PP
10217,Gujarat,1998,2,9,3,138,1,SOLANKI BHARATBHAI MADHAVSINH,M,INC,48754,,,94075,152707,BORSAD,GEN,,,3,61.6,51.82,no,21.78,OTHER SC,OBC PP,HINDU,,,2.56,OBC PP
10220,Gujarat,1998,2,9,3,139,1,PARMAR DHIRSINH CHHATRASINH,M,INC,57897,,,96284,155393,BHADRAN,GEN,,,3,61.96,60.13,no,21.36,RAJPUT,OBC PP,HINDU,,,1.96,OBC PP
10223,Gujarat,1998,2,9,3,140,1,SHUKAL SHIRISKUMAR MADHUSUDAN,M,BJP,32324,,,88458,147421,CAMBAY,GEN,,,7,60.0,36.54,no,2.56,BRAHMIN,UPPER CASTE,HINDU,,,3.23,UPPER CASTE
10230,Gujarat,1998,2,9,3,141,1,RATHWA SUKHRAMBHAI HARIYABHAI,M,INC,37204,,,74309,150080,CHHOTA UDAIPUR,ST,,,4,49.51,50.07,no,9.96,BHIL,ST,ANIMIST(TRIBAL),,,2.38,ST
10234,Gujarat,1998,2,9,3,142,1,RATHWA MOHANSINH CHOTUBHAI,M,INC,50010,,,76252,132072,JETPUR-I,GEN,,,3,57.74,65.59,no,33.33,BHIL,ST,ANIMIST(TRIBAL),,,1.89,ST
10237,Gujarat,1998,2,9,3,143,1,BHIL DHIRUBHAI CHUNILAL,M,INC,42923,,,78251,146079,NASVADI,ST,,,6,53.57,54.85,no,22.12,BHIL,ST,ANIMIST(TRIBAL),,,2.44,ST
10243,Gujarat,1998,2,9,3,144,1,BABARBHAI AMBALAL TADVI,M,INC,35128,,,66283,117715,SANKHEDA,ST,,,2,56.31,53.0,no,5.99,BHIL,ST,HINDU,,,2.0,ST
10245,Gujarat,1998,2,9,3,145,1,SIDDHARTH CHIMANBHAI PATEL,M,INC,38758,,,77093,120135,DABHOI,GEN,,,8,64.17,50.27,no,13.47,PATEL,INTERMEDIARY CASTE,HINDU,,,2.5,INTERMEDIARY CASTE
10253,Gujarat,1998,2,9,3,146,1,CHAUHAN KHUMANSINH RAYSINH,M,INC,57616,,,94602,146322,SAVLI,GEN,,,5,64.65,60.9,no,23.54,RAJPUT,OBC PP,HINDU,,,1.96,OBC PP
10258,Gujarat,1998,2,9,3,147,1,LAKHAWALA BHUPENDRA GATULAL,M,BJP,56780,,,118560,224907,BARODA CITY,GEN,,,8,52.72,47.89,no,17.21,VAISHYA,NOT ASCERTAINED,HINDU,,,2.78,NOT ASCERTAINED
10266,Gujarat,1998,2,9,3,148,1,JASPALSINGH,M,BJP,105272,,,179967,365877,SAYAJIGANJ,GEN,,,6,49.19,58.5,no,20.38,JAT SIKH,UPPER CASTE,SIKH,,,2.04,UPPER CASTE
10272,Gujarat,1998,2,9,3,149,1,YOGESH PATEL,M,BJP,58272,,,100313,198669,RAOPURA,GEN,,,5,50.49,58.09,no,25.25,KURMI,INTERMEDIARY CASTE,HINDU,,,2.22,INTERMEDIARY CASTE
10277,Gujarat,1998,2,9,3,150,1,SHRIVASTAVA MADHUBHAI BABUBHAI,M,BJP,46697,,,81506,134712,VAGHODIA,GEN,,,4,60.5,57.29,no,24.0,KAYASTHAS,UPPER CASTE,HINDU,,,2.22,UPPER CASTE
10281,Gujarat,1998,2,9,3,151,1,CHUDASAMA DILUBHA TEMUBHA,M,BJP,39144,,,99848,181165,BARODA RURAL,GEN,,,7,55.11,39.2,no,6.94,RAJPUT,OBC PP,HINDU,,,3.23,OBC PP
10288,Gujarat,1998,2,9,3,152,1,JEETSINH SOMSINH PARMAR,M,AIRJP,38278,,,106152,152821,PADRA,GEN,,,6,69.46,36.06,no,4.48,RAJPUT,OBC PP,HINDU,,,3.03,OBC PP
10294,Gujarat,1998,2,9,3,153,1,DABHI CHANDUBHAI MOTIBHAI,M,INC,43369,,,90653,143689,KARJAN,SC,,,6,63.09,47.84,no,2.78,OTHER SC,SC,HINDU,,,2.33,SC
10300,Gujarat,1998,2,9,3,154,1,MORI CHHATRASINH PUJABHAI,M,BJP,39903,,,81230,130782,JAMBUSAR,GEN,,,7,62.11,49.12,no,13.55,OTHER PEASANT OBC,OBC PP,HINDU,,,2.56,OBC PP
10307,Gujarat,1998,2,9,3,155,1,PATEL IQBAL IBRAHIM,M,INC,45490,,,89200,131871,VAGRA,GEN,,,8,67.64,51.0,no,29.64,SAYYAD,MUSLIM UPPER CASTE,MUSLIM,,,2.94,MUSLIM UPPER CASTE
10315,Gujarat,1998,2,9,3,156,1,BIPINBHAI ISHWARLAL SHAH,M,BJP,47169,,,103424,180637,BROACH,GEN,,,7,57.26,45.61,no,8.09,VAISHYA,UPPER CASTE,HINDU,,,2.78,UPPER CASTE
10322,Gujarat,1998,2,9,3,157,1,PATEL JAYANTIBHAI ZINABHAI,M,BJP,40170,,,98371,165853,ANKLESHWAR,GEN,,,9,59.31,40.84,no,8.19,KURMI,INTERMEDIARY CASTE,HINDU,,,3.33,INTERMEDIARY CASTE
10331,Gujarat,1998,2,9,3,158,1,VASAVA CHHOTUBHAI AMARSANG,M,JD,41180,,,85285,134597,JHAGADIA,ST,,,5,63.36,48.29,no,17.2,BHIL,ST,ANIMIST(TRIBAL),,,2.78,ST
10336,Gujarat,1998,2,9,3,159,1,VASAVA AMARSIH RAMSING,M,JD,41986,,,94933,154553,DEDIAPADA,ST,,,5,61.42,44.23,no,19.4,BHIL,ST,ANIMIST(TRIBAL),,,3.33,ST
10341,Gujarat,1998,2,9,3,160,1,VASAVA PREMSINH DEVJIBHAI,M,INC,30450,,,83981,134048,RAJPIPLA,ST,,,8,62.65,36.26,no,1.47,BHIL,ST,ANIMIST(TRIBAL),,,3.7,ST
10349,Gujarat,1998,2,9,3,161,1,VASAVA PARESHBHAI GOVINDBHAI,M,INC,54497,,,89535,156241,NIJHAR,ST,,,7,57.31,60.87,no,33.28,BHIL,ST,HINDU,,,2.22,ST
10356,Gujarat,1998,2,9,3,162,1,CHAUDHARI RAMANBHAI KANSARABHAI,M,JD,31492,,,84105,150889,MANGROL-I,ST,,,5,55.74,37.44,no,8.45,BHIL,ST,ANIMIST(TRIBAL),,,3.45,ST
10361,Gujarat,1998,2,9,3,163,1,VASAVA NAGARBHAI DIVELIYABHAI,M,INC,37544,,,77606,142510,SONGADH,ST,,,9,54.46,48.38,no,23.9,BHIL,ST,ANIMIST(TRIBAL),,,3.23,ST
10370,Gujarat,1998,2,9,3,164,1,GAMIT PRATAPBHAI BABUBHAI,M,INC,46335,,,92324,153048,VYARA,ST,,,7,60.32,50.19,no,17.41,BHIL,ST,ANIMIST(TRIBAL),,,2.78,ST
10377,Gujarat,1998,2,9,3,165,1,PATEL DEVDATTKUMAR KIKABHAI,M,BJP,48250,,,94678,147763,MAHUVA-I,ST,,,6,64.07,50.96,no,8.18,BHIL,ST,ANIMIST(TRIBAL),,,2.27,ST
10383,Gujarat,1998,2,9,3,166,1,RAJWADI RAJNIKANT PRABHUBHAI,M,BJP,44861,,,98534,158689,BARDOLI,ST,,,5,62.09,45.53,no,8.83,BHIL,ST,ANIMIST(TRIBAL),,,2.78,ST
10388,Gujarat,1998,2,9,3,167,1,RATHOD RAMANBHAI CHHANABHAI,M,INC,42255,,,87525,134920,KAMREJ,ST,,,5,64.87,48.28,no,2.38,BHIL,ST,ANIMIST(TRIBAL),,,2.27,ST
10393,Gujarat,1998,2,9,3,168,1,PATEL DHANSUKHBHAI NATHUBHAI,M,BJP,64268,,,127209,258048,OLPAD,GEN,,,5,49.3,50.52,no,22.43,KURMI,OBC PP,HINDU,,,2.63,OBC PP
10398,Gujarat,1998,2,9,3,169,1,GAJERA DHIRUBHAI HARIBHAI,M,BJP,70660,,,97260,217436,SURAT CITY NORTH,GEN,,,5,44.73,72.65,no,48.69,PATEL,INTERMEDIARY CASTE,HINDU,,,1.69,INTERMEDIARY CASTE
10403,Gujarat,1998,2,9,3,170,1,KHASI GULABDAS NAGINDAS,M,BJP,44279,,,70975,146315,SURAT CITY EAST,GEN,,,5,48.51,62.39,no,31.12,GUJJAR,OBC PP,HINDU,,,2.04,OBC PP
10408,Gujarat,1998,2,9,3,171,1,CHAPATWALA HEMANTBHAI CHAMPAKLAL,M,BJP,70254,,,100293,237410,SURAT CITY WEST,GEN,,,8,42.24,70.05,no,44.0,VAISHYA,OBC PP,HINDU,,,1.79,OBC PP
10416,Gujarat,1998,2,9,3,172,1,NAROTTAMBHAI PATEL,M,BJP,205827,,,275866,715531,CHORASI,GEN,,,7,38.55,74.61,no,53.34,PATEL,INTERMEDIARY CASTE,HINDU,,,1.64,INTERMEDIARY CASTE
10423,Gujarat,1998,2,9,3,173,1,PATEL RAMESHBHAI CHHOTUBHAI (R.C.PATEL),M,BJP,47303,,,93972,153938,JALALPORE,GEN,,,4,61.05,50.34,no,1.8,KURMI,OBC PP,HINDU,,,2.04,OBC PP
10427,Gujarat,1998,2,9,3,174,1,PATEL MANGUBHAI CHHAGANBHAI,M,BJP,55578,,,98807,169926,NAVSARI,ST,,,4,58.15,56.25,no,14.28,BHIL,ST,HINDU,,,2.0,ST
10431,Gujarat,1998,2,9,3,175,1,PATEL KARSANBHAI BHIKHABHAI,M,BJP,48799,,,91892,155996,GANDEVI,GEN,,,4,58.91,53.1,no,9.6,KURMI,OBC PP,HINDU,,,2.13,OBC PP
10435,Gujarat,1998,2,9,3,176,1,KANJIBHAI MAGANBHAI PATEL,M,BJP,48110,,,90751,149817,CHIKHLI,ST,,,5,60.57,53.01,no,10.73,BHIL,ST,ANIMIST(TRIBAL),,,2.17,ST
10440,Gujarat,1998,2,9,3,177,1,BHOYE MADHUBHAI JELYABHAI,M,INC,28610,,,74634,151276,DANGS-BANSDA,ST,,,6,49.34,38.33,no,8.61,BHIL,ST,ANIMIST(TRIBAL),,,3.57,ST
10446,Gujarat,1998,2,9,3,178,1,DESAI DOLATRAI NATHUBHAI,M,BJP,56069,,,96926,179047,BULSAR,GEN,,,4,54.13,57.85,no,23.04,BRAHMIN,UPPER CASTE,HINDU,,,2.22,UPPER CASTE
10450,Gujarat,1998,2,9,3,179,1,CHAUDHARY HIRABHAI RAMJIBHAI,M,BJP,36082,,,78632,148772,DHARAMPUR,ST,,,5,52.85,45.89,no,5.06,BHIL,ST,ANIMIST(TRIBAL),,,2.63,ST
10455,Gujarat,1998,2,9,3,180,1,PATEL BARAJULBHAI NAVALABHAI,M,INC,42073,,,84780,156581,MOTA PONDHA,ST,,,6,54.14,49.63,no,12.82,BHIL,ST,ANIMIST(TRIBAL),,,2.56,ST
10461,Gujarat,1998,2,9,3,181,1,CHANDRAVADAN MAKANJI PATEL,M,BJP,37498,,,85806,155979,PARDI,ST,,,6,55.01,43.7,no,9.11,BHIL,ST,ANIMIST(TRIBAL),,,2.94,ST
10467,Gujarat,1998,2,9,3,182,1,PATKAR RAMANLAL NANUBHAI,M,BJP,50380,,,101831,185615,UMBERGAON,ST,,,5,54.86,49.47,no,4.31,BHIL,ST,ANIMIST(TRIBAL),,,2.27,ST
10472,Gujarat,2002,2,10,3,1,1,JADEJA NARENDRASINH MADHAVSINHAJ,M,BJP,49083,,,92191,128249,ABDASA,GEN,,,3,71.88,53.24,no,10.69,,,,,,2.17,
10475,Gujarat,2002,2,10,3,2,1,PATEL CHHABILBHAI NARANBHAI,M,INC,40529,,,87242,135253,MANDVI,GEN,,,4,64.5,46.46,no,0.69,,,,,,2.33,
10479,Gujarat,2002,2,10,3,3,1,AHIR SHIVJIBHAI KARSHANBHAI,M,INC,51480,,,107891,167886,BHUJ,GEN,,,5,64.26,47.71,no,2.39,,,HINDU,,,2.27,
10484,Gujarat,2002,2,10,3,4,1,DHUA GOPALBHAI GABHABHAI,M,BJP,40688,,,79566,136272,MUNDRA,SC,,,4,58.39,51.14,no,11.28,,,,,,2.38,
10488,Gujarat,2002,2,10,3,5,1,DR. AACHARYA NIMABEN BHAVESH,F,INC,58619,,,123276,233512,ANJAR,GEN,,,6,52.79,47.55,no,3.31,,,,,,2.33,
10494,Gujarat,2002,2,10,3,6,1,BABUBHAI MEGHJI SHAH,M,INC,40939,,,105024,169200,RAPAR,GEN,,,5,62.07,38.98,no,4.08,,,HINDU,,,2.94,
10499,Gujarat,2002,2,10,3,7,1,MAKWANA MANAHARLAL MAGANLAL,M,INC,46098,,,94977,143293,DASADA,SC,,,3,66.28,48.54,no,0.65,,,,,,2.13,
10502,Gujarat,2002,2,10,3,8,1,KELA DHANRAJBHAI GOVINDBHAI,M,BJP,59446,,,115791,190056,WADHWAN,GEN,,,10,60.92,51.34,no,15.32,,,,,,2.5,
10512,Gujarat,2002,2,10,3,9,1,BHARVAD BHAVANBHAI JIVANBHAI,M,INC,60928,,,110380,165394,LIMBDI,GEN,,,8,66.74,55.2,no,17.89,,,,,,2.27,
10520,Gujarat,2002,2,10,3,10,1,JINJARIYA POPATBHAI SAVSHIBHAI,M,IND,34035,,,89022,161410,CHOTILA,GEN,,,8,55.15,38.23,no,9.46,,,,,,3.03,
10528,Gujarat,2002,2,10,3,11,1,KAVADIYA JAYANTILAL RAMJIBHAI,M,BJP,49889,,,105515,145494,HALVAD,GEN,,,8,72.52,47.28,no,4.74,,,,,,2.5,
10536,Gujarat,2002,2,10,3,12,1,INDRAVIJAYSINH (I.K.) JADEJA,M,BJP,35366,,,104663,147081,DHRANGADHRA,GEN,,,6,71.16,33.79,no,1.44,,,,,,3.23,
10542,Gujarat,2002,2,10,3,13,1,AMRUTIYA KANTILAL SHIVABHAI,M,BJP,53443,,,119782,191840,MORVI,GEN,,,10,62.44,44.62,no,1.33,,,HINDU,,,2.5,
10552,Gujarat,2002,2,10,3,14,1,KUNDARIYA MOHANBHAI KALYANJI,M,BJP,62251,,,122448,180306,TANKARA,GEN,,,7,67.91,50.84,no,8.86,,,,,,2.27,
10559,Gujarat,2002,2,10,3,15,1,SOMANI JYOTSANABEN JITENDRABHAI,F,BJP,50005,,,114326,156259,WANKANER,GEN,,,5,73.16,43.74,no,8.42,,,,,,2.94,
10564,Gujarat,2002,2,10,3,16,1,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,INC,71296,,,129251,166653,JASDAN,GEN,,,5,77.56,55.16,no,15.94,,,,,,2.22,
10569,Gujarat,2002,2,10,3,17,1,TAPUBHAI LIMBASIYA,M,BJP,80870,,,156224,311023,RAJKOT-I,GEN,,,9,50.23,51.77,no,10.62,,,,,,2.27,
10578,Gujarat,2002,2,10,3,18,1,VAJUBHAI VALA,M,BJP,43397,,,82297,166385,RAJKOT-II,GEN,,,10,49.46,52.73,no,10.35,,,,,,2.17,
10588,Gujarat,2002,2,10,3,19,1,PARMAR SIDDHARTH MAYARAM,M,BJP,78233,,,157311,310875,RAJKOT RURAL,SC,,,5,50.6,49.73,no,4.63,,,,,,2.22,
10593,Gujarat,2002,2,10,3,20,1,JAYRAJSINH TEMUBHA JADEJA,M,BJP,39727,,,92430,152050,GONDAL,GEN,,,7,60.79,42.98,no,15.79,,,,,,3.45,
10600,Gujarat,2002,2,10,3,21,1,KORAT JASHUBEN SAVAJIBHAI,F,BJP,57544,,,103644,171483,JETPUR,GEN,,,3,60.44,55.52,no,15.66,,,,,,2.13,
10603,Gujarat,2002,2,10,3,22,1,RADADIYA VITHALBHAI HANSRAJBHAI,M,INC,48960,,,94186,141433,DHORAJI,GEN,,,7,66.59,51.98,no,10.48,,,,,,2.27,
10610,Gujarat,2002,2,10,3,23,1,PRAVINBHAI MOHANBHAI MAKADIA,M,BJP,34810,,,81191,133498,UPLETA,GEN,,,8,60.82,42.87,no,12.28,,,,,,2.94,
10618,Gujarat,2002,2,10,3,24,1,BHOJANI PARSOTAMBHAI NANJIBHAI,M,BJP,43839,,,93747,135073,JODIYA,GEN,,,9,69.4,46.76,no,2.59,,,,,,2.38,
10627,Gujarat,2002,2,10,3,25,1,TRIVEDI VASUBEN NARENDRA,F,BJP,25517,,,63377,127137,JAMNAGAR,GEN,,,11,49.85,40.26,no,7.83,,,,,,2.38,
10638,Gujarat,2002,2,10,3,26,1,DR. DINESH PARMAR,M,INC,53239,,,110863,249428,JAMNAGAR RURAL,SC,,,7,44.45,48.02,no,2.2,,,,,,2.27,
10645,Gujarat,2002,2,10,3,27,1,FALDU RANCHHODBHAI CHANABHAI (R.C. FALDU),M,BJP,43467,,,93216,144096,KALAWAD,GEN,,,4,64.69,46.63,no,2.74,,,,,,2.44,
10649,Gujarat,2002,2,10,3,28,1,CHIMANLAL DHARAMSINHBHAI SAPARIA,M,BJP,44168,,,89685,126708,JAMJODHPUR,GEN,,,3,70.78,49.25,no,2.92,,,,,,2.22,
10652,Gujarat,2002,2,10,3,29,1,MADAM VIKRAMBHAI ARJANBHAI,M,INC,38323,,,82212,117925,BHANVAD,GEN,,,7,69.72,46.61,no,2.26,,,,,,2.38,
10659,Gujarat,2002,2,10,3,30,1,CHAVADA KARUBHAI NARAN,M,BJP,33367,,,78097,138696,KHAMBHALIA,GEN,,,7,56.31,42.73,no,2.4,,,,,,2.86,
10666,Gujarat,2002,2,10,3,31,1,MANEK PABUBHA VIRAMBHA,M,INC,44009,,,91301,148726,DWARKA,GEN,,,12,61.39,48.2,no,6.19,,,,,,2.44,
10678,Gujarat,2002,2,10,3,32,1,ARJUNBHAI DEVABHAI MODHAVADIYA,M,INC,46311,,,95450,162027,PORBANDAR,GEN,,,14,58.91,48.52,no,4.61,,,HINDU,,,2.33,
10692,Gujarat,2002,2,10,3,33,1,ODEDARA KARSHANBHAI DULABHAI,M,BJP,37226,,,82216,144523,KUTIYANA,GEN,,,12,56.89,45.28,no,12.46,,,,,,2.94,
10704,Gujarat,2002,2,10,3,34,1,DR. CHUDASAMA CHANDRIKABEN KANJIBHAI,F,INC,48478,,,108215,159521,MANGROL,GEN,,,7,67.84,44.8,no,1.37,,,,,,2.5,
10711,Gujarat,2002,2,10,3,35,1,SUREJA RATEEBHAI GORDHANBHAI,M,BJP,43359,,,82037,123508,MANAVADAR,GEN,,,8,66.42,52.85,no,12.66,,,,,,2.27,
10719,Gujarat,2002,2,10,3,36,1,BORICHA MADHABHAI LAKHABHAI,M,BJP,52475,,,94349,152359,KESHOD,SC,,,8,61.93,55.62,no,18.68,,,,,,2.22,
10727,Gujarat,2002,2,10,3,37,1,PARAMAR GOVINDBHAI VARJANGBHAI,M,BJP,57182,,,122333,163949,TALALA,GEN,,,7,74.62,46.74,no,0.51,,,,,,2.33,
10734,Gujarat,2002,2,10,3,38,1,BARAD JESABHAI BHANABHAI,M,INC,51207,,,123024,186938,SOMNATH,GEN,,,8,65.81,41.62,no,5.98,,,,,,2.94,
10742,Gujarat,2002,2,10,3,39,1,VANSH PUNJABHAI BHIMABHAI,M,INC,58019,,,123987,190928,UNA,GEN,,,5,64.94,46.79,no,2.0,,,,,,2.38,
10747,Gujarat,2002,2,10,3,40,1,BHALALA KANUBHAI MEPABHAI,M,BJP,45242,,,91583,148725,VISAVADAR,GEN,,,6,61.58,49.4,no,20.55,,,,,,2.78,
10753,Gujarat,2002,2,10,3,41,1,JOSHI BHIKHABHAI GALABHAI,M,INC,46367,,,103946,161886,MALIYA,GEN,,,7,64.21,44.61,no,10.29,,,,,,2.94,
10760,Gujarat,2002,2,10,3,42,1,MASHROO MAHENDRA LILADHAR,M,BJP,60155,,,104082,210736,JUNAGADH,GEN,,,8,49.39,57.8,no,20.45,,,,,,2.13,
10768,Gujarat,2002,2,10,3,43,1,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,48665,,,98838,144077,BABRA,GEN,,,3,68.6,49.24,no,1.95,,,,,,2.17,
10771,Gujarat,2002,2,10,3,44,1,BHECHARBHAI BHADANI,M,BJP,33556,,,73478,120159,LATHI,GEN,,,5,61.15,45.67,no,9.27,,,,,,2.86,
