,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
9734,1998,60,DHOLKA,GEN,KANJIBHAI RAYABHAI TALPADA,M,INC,59.88
9738,1998,61,BAVLA,SC,MAKWANA GUNVANTBHAI N.,M,INC,56.56
9747,1998,62,MANDAL,GEN,PATEL ANANDIBEN MAFATBHAI,F,BJP,62.79
9751,1998,63,VIRAMGAM,GEN,PREMJIBHAI VADLANI,M,INC,65.61
9754,1998,64,SARKHEJ,GEN,SHAH AMIT ANILCHANDRA (AMIT SHAH),M,BJP,45.46
9763,1998,65,DASKROI,GEN,PATEL VIJAYBHAI HARISHCHANDRA,M,BJP,54.97
9774,1998,66,DEHGAM,GEN,GABHAJI MANGAJI THAKOR,M,BJP,62.53
9779,1998,67,SABARMATI,GEN,OZA YATINBHAI NARENDRAKUMAR,M,BJP,52.94
9787,1998,68,ELLIS BRIDGE,GEN,HAREN PANDYA,M,BJP,47.82
9793,1998,69,DARIAPUR-KAZIPUR,GEN,BAROT BHARATKUMAR CHIMANLAL,M,BJP,49.11
9803,1998,70,SHAHPUR,GEN,KAUSHIKKUMAR JAMNADAS PATEL (KAUSHIK PATEL),M,BJP,55.88
9810,1998,71,KALUPUR,GEN,SHAIKHMOHMMAD FARUK H. (FARUK SHAIKH),M,INC,60.77
9819,1998,72,ASARWA,GEN,PATEL AMRISHKUMAR GOVINDLAL,M,BJP,51.3
9829,1998,73,RAKHIAL,GEN,JHADFIYA GORDHANBHAI P.,M,BJP,52.88
9838,1998,74,SHAHER KOTDA,SC,MANUBHAI PARMAR,M,INC,50.49
9847,1998,75,KHADIA,GEN,ASHOK BHATT,M,BJP,50.52
9854,1998,76,JAMALPUR,GEN,DEVDIWALA USMANGANI I.,M,IND,53.42
9866,1998,77,MANINAGAR,GEN,KAMLESH PATEL,M,BJP,41.57
9876,1998,78,NARODA,GEN,KODNANI MAYABEN SURENDRABHAI,F,BJP,47.15
9881,1998,79,GANDHINAGAR,GEN,PATEL VADIBHAI BHAISCHANDDAS,M,BJP,63.06
9885,1998,80,KALOL-I,GEN,PATEL SURESHKUMAR CHATURDAS,M,INC,63.47
9897,1998,81,KADI,GEN,NITIN RATILAL PATEL,M,BJP,70.96
9910,1998,82,JOTANA,SC,ISHVARBHAI DHANABHAI MAKWANA,M,BJP,63.54
9918,1998,83,MEHSANA,GEN,KHODABHAI N.PATEL,M,BJP,62.83
9924,1998,84,MANSA,GEN,PATEL MANGALDAS MADHAVLAL,M,BJP,74.87
9932,1998,85,VIJAPUR,GEN,RAVAL NARESHKUMAR GANGARAM,M,INC,71.28
9944,1998,86,VISNAGAR,GEN,PATEL PRAHALADBHAI MOHANLAL (GOSA),M,BJP,73.79
9949,1998,87,KHERALU,GEN,THAKOR SHREE SHANKARJI OKHAJI,M,INC,70.82
9953,1998,88,UNJHA,GEN,PATEL NARAYANBHAI LALLUDAS,M,BJP,65.53
9957,1998,89,SIDHPUR,GEN,JAY NARAYAN VYAS,M,BJP,65.94
9962,1998,90,VAGDOD,GEN,DESAI RANCHHOD MAHIJIBHAI,M,BJP,60.74
9965,1998,91,PATAN,GEN,PATEL MOHANBHAI HIRABHAI,M,BJP,55.99
9971,1998,92,CHANASMA,GEN,ARVIND T. PATEL,M,BJP,73.58
9977,1998,93,SAMI,GEN,THAKOR DILIPKUMAR VIRAJIBHAI,M,BJP,64.78
9983,1998,94,RADHANPUR,GEN,PATEL SHANKARBHAI LAGDHIRBHAI (SHANKARBHAI,M,BJP,57.66
9990,1998,95,VAV,GEN,RAJPUT HEMAJI DARAGHAJI,M,INC,75.56
9996,1998,96,DEODAR,GEN,VAGELA LILADHARBHAI KHODAJI,M,BJP,68.29
10001,1998,97,KANKREJ,GEN,VAGHELA MAGANSINH CHIMANSINH,M,BJP,65.9
10005,1998,98,DEESA,GEN,GORDHANJI GIGAJI MALI,M,BJP,69.14
10012,1998,99,DHANERA,GEN,PATEL HARJIVANBHAI HIRABHAI,M,BJP,68.6
10021,1998,100,PALANPUR,GEN,TRIVEDI REKHABEN HITENDRABHAI,F,BJP,60.19
10024,1998,101,VADGAM,SC,DOLATBHAI PARMAR,M,INC,62.68
10031,1998,102,DANTA,GEN,GADHVI MUKESH B.,M,INC,64.42
10039,1998,103,KHEDBRAHMA,ST,AMARSINH BHILABHAI CHAUDHARY,M,INC,62.42
10043,1998,104,IDAR,SC,RAMANLAL VORA,M,BJP,62.53
10048,1998,105,BHILODA,GEN,UPENDRA TRIVEDI,M,IND,62.27
10052,1998,106,HIMATNAGAR,GEN,CHAVDA RANJITSINH NARSINH,M,BJP,60.71
10057,1998,107,PRANTIJ,GEN,RATHOD DIPSINH SHANKARSINH,M,BJP,63.21
10064,1998,108,MODASA,GEN,PARMAR DILIPSINH VAKHATSINH,M,BJP,67.56
10068,1998,109,BAYAD,GEN,DR. PATEL MAHENDRABHAI SOMABHAI,M,BJP,74.08
10072,1998,110,MEGHRAJ,GEN,PATEL SHIVABHAI D.,M,INC,63.76
10076,1998,111,SANTRAMPUR,GEN,DR.BHAMAT MANSINH VALLABHBHAI,M,INC,59.11
10080,1998,112,JHALOD,ST,MACHHAR DITABHAI BHIMABHAI,M,INC,53.25
10085,1998,113,LIMDI,ST,KISHORI BACHUBHAI NATHABHAI,M,INC,41.23
10091,1998,114,DOHAD,ST,PATEL LALITKUMAR BHAGAWANDAS,M,INC,45.79
10097,1998,115,LIMKHEDA,ST,PASAYA NAGARSINH GULABSINH,M,INC,44.36
10103,1998,116,DEVGADH BARIA,GEN,MAHARAUL URVASHIDEVI JAYDIPSINH,F,INC,54.91
10107,1998,117,RAJGADH,GEN,VAKIL PARMAR LAXMANSINH MOTISINH,M,INC,51.24
10114,1998,118,HALOL,GEN,BARIA UDESINH MOHANBHAI,M,INC,52.21
10119,1998,119,KALOL,GEN,CHAUHAN P.P.,M,BJP,55.95
10124,1998,120,GODHRA,GEN,PATEL RAJENDRASINH BALWANTSINH,M,JD,59.8
10130,1998,121,SHEHRA,GEN,BHARWAD JETHABHAI GHELABHAI,M,SP,59.37
10137,1998,122,LUNAVADA,GEN,SOLANKI SURPALSINH HIMATSINH,M,INC,65.17
10141,1998,123,RANDHIKPUR,ST,BHABHOR JASWANTSINH SUMANBHAI,M,BJP,59.53
10145,1998,124,BALASINOR,GEN,CHAUHAN MANSHINH KOHYABHAI,M,AIRJP,60.58
10150,1998,125,KAPADVANJ,GEN,BIMAL SHAH,M,BJP,59.51
10159,1998,126,THASRA,GEN,PARMAR RAMSINH PRABHATBHAI,M,INC,61.78
10163,1998,127,UMRETH,GEN,SUBHASH S. SHELAT,M,INC,62.18
10169,1998,128,KATHLAL,GEN,ZALA GAUTAMBHAI JESANGBHAI,M,AIRJP,60.48
10173,1998,129,MEHMEDABAD,GEN,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,50.81
10179,1998,130,MAHUDHA,GEN,THAKOR NATVARSINH FULSINH,M,INC,55.89
10183,1998,131,NADIAD,GEN,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,53.29
10186,1998,132,CHAKALASI,GEN,SHANKARBHAI DESAIBHAI VAGHELA,M,INC,69
10190,1998,133,ANAND,GEN,PATEL DILIPBHAI MANIBHAI,M,BJP,60.93
10194,1998,134,SARSA,GEN,PARMAR GOVINDBHAI RAIJIBHAI,M,INC,65.79
10202,1998,135,PETLAD,GEN,PATEL NIRANJAN PARSOTTAMDAS,M,INC,63.26
10205,1998,136,SOJITRA,SC,MAKWANA BHARATKUMAR YOGENDRABHAI,M,INC,58.02
10209,1998,137,MATAR,GEN,CHAVDA DHIRUBHAI AMARSING,M,INC,66.09
10217,1998,138,BORSAD,GEN,SOLANKI BHARATBHAI MADHAVSINH,M,INC,61.6
10220,1998,139,BHADRAN,GEN,PARMAR DHIRSINH CHHATRASINH,M,INC,61.96
10223,1998,140,CAMBAY,GEN,SHUKAL SHIRISKUMAR MADHUSUDAN,M,BJP,60
10230,1998,141,CHHOTA UDAIPUR,ST,RATHWA SUKHRAMBHAI HARIYABHAI,M,INC,49.51
10234,1998,142,JETPUR-I,GEN,RATHWA MOHANSINH CHOTUBHAI,M,INC,57.74
10237,1998,143,NASVADI,ST,BHIL DHIRUBHAI CHUNILAL,M,INC,53.57
10243,1998,144,SANKHEDA,ST,BABARBHAI AMBALAL TADVI,M,INC,56.31
10245,1998,145,DABHOI,GEN,SIDDHARTH CHIMANBHAI PATEL,M,INC,64.17
10253,1998,146,SAVLI,GEN,CHAUHAN KHUMANSINH RAYSINH,M,INC,64.65
10258,1998,147,BARODA CITY,GEN,LAKHAWALA BHUPENDRA GATULAL,M,BJP,52.72
10266,1998,148,SAYAJIGANJ,GEN,JASPALSINGH,M,BJP,49.19
10272,1998,149,RAOPURA,GEN,YOGESH PATEL,M,BJP,50.49
10277,1998,150,VAGHODIA,GEN,SHRIVASTAVA MADHUBHAI BABUBHAI,M,BJP,60.5
10281,1998,151,BARODA RURAL,GEN,CHUDASAMA DILUBHA TEMUBHA,M,BJP,55.11
10288,1998,152,PADRA,GEN,JEETSINH SOMSINH PARMAR,M,AIRJP,69.46
10294,1998,153,KARJAN,SC,DABHI CHANDUBHAI MOTIBHAI,M,INC,63.09
10300,1998,154,JAMBUSAR,GEN,MORI CHHATRASINH PUJABHAI,M,BJP,62.11
10307,1998,155,VAGRA,GEN,PATEL IQBAL IBRAHIM,M,INC,67.64
10315,1998,156,BROACH,GEN,BIPINBHAI ISHWARLAL SHAH,M,BJP,57.26
10322,1998,157,ANKLESHWAR,GEN,PATEL JAYANTIBHAI ZINABHAI,M,BJP,59.31
10331,1998,158,JHAGADIA,ST,VASAVA CHHOTUBHAI AMARSANG,M,JD,63.36
10336,1998,159,DEDIAPADA,ST,VASAVA AMARSIH RAMSING,M,JD,61.42
10341,1998,160,RAJPIPLA,ST,VASAVA PREMSINH DEVJIBHAI,M,INC,62.65
10349,1998,161,NIJHAR,ST,VASAVA PARESHBHAI GOVINDBHAI,M,INC,57.31
10356,1998,162,MANGROL-I,ST,CHAUDHARI RAMANBHAI KANSARABHAI,M,JD,55.74
10361,1998,163,SONGADH,ST,VASAVA NAGARBHAI DIVELIYABHAI,M,INC,54.46
10370,1998,164,VYARA,ST,GAMIT PRATAPBHAI BABUBHAI,M,INC,60.32
10377,1998,165,MAHUVA-I,ST,PATEL DEVDATTKUMAR KIKABHAI,M,BJP,64.07
10383,1998,166,BARDOLI,ST,RAJWADI RAJNIKANT PRABHUBHAI,M,BJP,62.09
10388,1998,167,KAMREJ,ST,RATHOD RAMANBHAI CHHANABHAI,M,INC,64.87
10393,1998,168,OLPAD,GEN,PATEL DHANSUKHBHAI NATHUBHAI,M,BJP,49.3
10398,1998,169,SURAT CITY NORTH,GEN,GAJERA DHIRUBHAI HARIBHAI,M,BJP,44.73
10403,1998,170,SURAT CITY EAST,GEN,KHASI GULABDAS NAGINDAS,M,BJP,48.51
10408,1998,171,SURAT CITY WEST,GEN,CHAPATWALA HEMANTBHAI CHAMPAKLAL,M,BJP,42.24
10416,1998,172,CHORASI,GEN,NAROTTAMBHAI PATEL,M,BJP,38.55
10423,1998,173,JALALPORE,GEN,PATEL RAMESHBHAI CHHOTUBHAI (R.C.PATEL),M,BJP,61.05
10427,1998,174,NAVSARI,ST,PATEL MANGUBHAI CHHAGANBHAI,M,BJP,58.15
10431,1998,175,GANDEVI,GEN,PATEL KARSANBHAI BHIKHABHAI,M,BJP,58.91
10435,1998,176,CHIKHLI,ST,KANJIBHAI MAGANBHAI PATEL,M,BJP,60.57
10440,1998,177,DANGS-BANSDA,ST,BHOYE MADHUBHAI JELYABHAI,M,INC,49.34
10446,1998,178,BULSAR,GEN,DESAI DOLATRAI NATHUBHAI,M,BJP,54.13
10450,1998,179,DHARAMPUR,ST,CHAUDHARY HIRABHAI RAMJIBHAI,M,BJP,52.85
10455,1998,180,MOTA PONDHA,ST,PATEL BARAJULBHAI NAVALABHAI,M,INC,54.14
10461,1998,181,PARDI,ST,CHANDRAVADAN MAKANJI PATEL,M,BJP,55.01
10467,1998,182,UMBERGAON,ST,PATKAR RAMANLAL NANUBHAI,M,BJP,54.86
10472,2002,1,ABDASA,GEN,JADEJA NARENDRASINH MADHAVSINHAJ,M,BJP,71.88
10475,2002,2,MANDVI,GEN,PATEL CHHABILBHAI NARANBHAI,M,INC,64.5
10479,2002,3,BHUJ,GEN,AHIR SHIVJIBHAI KARSHANBHAI,M,INC,64.26
10484,2002,4,MUNDRA,SC,DHUA GOPALBHAI GABHABHAI,M,BJP,58.39
10488,2002,5,ANJAR,GEN,DR. AACHARYA NIMABEN BHAVESH,F,INC,52.79
10494,2002,6,RAPAR,GEN,BABUBHAI MEGHJI SHAH,M,INC,62.07
10499,2002,7,DASADA,SC,MAKWANA MANAHARLAL MAGANLAL,M,INC,66.28
10502,2002,8,WADHWAN,GEN,KELA DHANRAJBHAI GOVINDBHAI,M,BJP,60.92
10512,2002,9,LIMBDI,GEN,BHARVAD BHAVANBHAI JIVANBHAI,M,INC,66.74
10520,2002,10,CHOTILA,GEN,JINJARIYA POPATBHAI SAVSHIBHAI,M,IND,55.15
10528,2002,11,HALVAD,GEN,KAVADIYA JAYANTILAL RAMJIBHAI,M,BJP,72.52
10536,2002,12,DHRANGADHRA,GEN,INDRAVIJAYSINH (I.K.) JADEJA,M,BJP,71.16
10542,2002,13,MORVI,GEN,AMRUTIYA KANTILAL SHIVABHAI,M,BJP,62.44
10552,2002,14,TANKARA,GEN,KUNDARIYA MOHANBHAI KALYANJI,M,BJP,67.91
10559,2002,15,WANKANER,GEN,SOMANI JYOTSANABEN JITENDRABHAI,F,BJP,73.16
10564,2002,16,JASDAN,GEN,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,INC,77.56
10569,2002,17,RAJKOT-I,GEN,TAPUBHAI LIMBASIYA,M,BJP,50.23
10578,2002,18,RAJKOT-II,GEN,VAJUBHAI VALA,M,BJP,49.46
10588,2002,19,RAJKOT RURAL,SC,PARMAR SIDDHARTH MAYARAM,M,BJP,50.6
10593,2002,20,GONDAL,GEN,JAYRAJSINH TEMUBHA JADEJA,M,BJP,60.79
10600,2002,21,JETPUR,GEN,KORAT JASHUBEN SAVAJIBHAI,F,BJP,60.44
10603,2002,22,DHORAJI,GEN,RADADIYA VITHALBHAI HANSRAJBHAI,M,INC,66.59
10610,2002,23,UPLETA,GEN,PRAVINBHAI MOHANBHAI MAKADIA,M,BJP,60.82
10618,2002,24,JODIYA,GEN,BHOJANI PARSOTAMBHAI NANJIBHAI,M,BJP,69.4
10627,2002,25,JAMNAGAR,GEN,TRIVEDI VASUBEN NARENDRA,F,BJP,49.85
10638,2002,26,JAMNAGAR RURAL,SC,DR. DINESH PARMAR,M,INC,44.45
10645,2002,27,KALAWAD,GEN,FALDU RANCHHODBHAI CHANABHAI (R.C. FALDU),M,BJP,64.69
10649,2002,28,JAMJODHPUR,GEN,CHIMANLAL DHARAMSINHBHAI SAPARIA,M,BJP,70.78
10652,2002,29,BHANVAD,GEN,MADAM VIKRAMBHAI ARJANBHAI,M,INC,69.72
10659,2002,30,KHAMBHALIA,GEN,CHAVADA KARUBHAI NARAN,M,BJP,56.31
10666,2002,31,DWARKA,GEN,MANEK PABUBHA VIRAMBHA,M,INC,61.39
10678,2002,32,PORBANDAR,GEN,ARJUNBHAI DEVABHAI MODHAVADIYA,M,INC,58.91
10692,2002,33,KUTIYANA,GEN,ODEDARA KARSHANBHAI DULABHAI,M,BJP,56.89
10704,2002,34,MANGROL,GEN,DR. CHUDASAMA CHANDRIKABEN KANJIBHAI,F,INC,67.84
10711,2002,35,MANAVADAR,GEN,SUREJA RATEEBHAI GORDHANBHAI,M,BJP,66.42
10719,2002,36,KESHOD,SC,BORICHA MADHABHAI LAKHABHAI,M,BJP,61.93
10727,2002,37,TALALA,GEN,PARAMAR GOVINDBHAI VARJANGBHAI,M,BJP,74.62
10734,2002,38,SOMNATH,GEN,BARAD JESABHAI BHANABHAI,M,INC,65.81
10742,2002,39,UNA,GEN,VANSH PUNJABHAI BHIMABHAI,M,INC,64.94
10747,2002,40,VISAVADAR,GEN,BHALALA KANUBHAI MEPABHAI,M,BJP,61.58
10753,2002,41,MALIYA,GEN,JOSHI BHIKHABHAI GALABHAI,M,INC,64.21
10760,2002,42,JUNAGADH,GEN,MASHROO MAHENDRA LILADHAR,M,BJP,49.39
10768,2002,43,BABRA,GEN,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,68.6
10771,2002,44,LATHI,GEN,BHECHARBHAI BHADANI,M,BJP,61.15
10776,2002,45,AMRELI,GEN,DHANANI PARESHBHAI DHIRAJLAL,M,INC,61.02
10783,2002,46,DHARI,GEN,BALUBHAI JIVRAJBHAI TANTI,M,BJP,58.2
10792,2002,47,KODINAR,GEN,SOLANKI DINUBHAI BOGHABHAI,M,BJP,66.91
10797,2002,48,RAJULA,GEN,SOLANKI HIRABHAI ODHAVJIBHAI,M,BJP,59.3
10801,2002,49,BOTAD,GEN,SAURABH PATEL,M,BJP,66.89
10807,2002,50,GADHADA,SC,MARU PRAVINBHAI TIDABHAI,M,INC,58.42
10810,2002,51,PALITANA,GEN,MANDAVIYA MANSUKHBHAI LAXMANBHAI,M,BJP,57.62
10818,2002,52,SIHOR,GEN,NAKARANI KESHUBHAI HIRAJIBHAI,M,BJP,59.98
10821,2002,53,KUNDLA,GEN,KALUBHAI VIRANI,M,BJP,55.96
10827,2002,54,MAHUVA,GEN,DR. KANUBHAI VALABHAI KALSARIYA,M,BJP,47.52
10831,2002,55,TALAJA,GEN,GOHIL SHIVABHAI JERAMBHAI,M,BJP,46.04
10842,2002,56,GHOGHO,GEN,SOLANKI PARSOTTAM O.,M,BJP,56.57
10848,2002,57,BHAVNAGAR NORTH,GEN,TRIVEDI MAHENDRABHAI SHANTIBHAI (MAHENDRA,M,BJP,50.34
10854,2002,58,BHAVNAGAR SOUTH,GEN,OZA SUNIL BALKRISHNABHAI,M,BJP,54.65
10860,2002,59,DHANDHUKA,GEN,BHARATBHAI BALDEVBHAI PANDYA,M,BJP,56.97
10866,2002,60,DHOLKA,GEN,CHUDASAMA BHUPENDRASINH,M,BJP,62.61
10869,2002,61,BAVLA,SC,LAKUM KANTIBHAI RAMABHAI,M,BJP,57.3
10873,2002,62,MANDAL,GEN,PATEL PRAGJIBHAI NARANBHAI,M,BJP,60.42
10878,2002,63,VIRAMGAM,GEN,DODIYA VAJUBHAI PARMABHAI,M,BJP,67.11
10880,2002,64,SARKHEJ,GEN,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),M,BJP,51.31
10889,2002,65,DASKROI,GEN,PATEL BABUBHAI JAMNADAS,M,BJP,60.23
10893,2002,66,DEHGAM,GEN,JAGDISH THAKOR,M,INC,67.52
10896,2002,67,SABARMATI,GEN,PATEL JITENDRABHAI BABUBHAI (DR. JITUBHAI PATEL),M,BJP,55.45
10904,2002,68,ELLIS BRIDGE,GEN,SHETH BHAVINBHAI NALINIBHAI (ENGINEER),M,BJP,48.46
10910,2002,69,DARIAPUR-KAZIPUR,GEN,BAROT BHARATKUMAR CHIMANLAL (BHARAT BAROT),M,BJP,53.22
10920,2002,70,SHAHPUR,GEN,PATEL KAUSHIKKUMAR JAMNADAS (KAUSHIK PATEL),M,BJP,66.73
10925,2002,71,KALUPUR,GEN,SHAIKH MOHAMMED FAROOQ HUSAINMIYA (FAROOQ,M,INC,74.98
10929,2002,72,ASARWA,GEN,JADEJA PRADIPSINH BHAGVATSINH,M,BJP,53.6
10944,2002,73,RAKHIAL,GEN,ZADAFIA GORDHANBHAI PRAGJIBHAI,M,BJP,63.74
10949,2002,74,SHAHER KOTDA,SC,VAGHELA JITENDRAKUMAR UMAKANT,M,BJP,60.43
10954,2002,75,KHADIA,GEN,ASHOK BHATT,M,BJP,65.46
10958,2002,76,JAMALPUR,GEN,DEVADIWALA USMANGANI ISMAILBHAI,M,INC,60.06
10968,2002,77,MANINAGAR,GEN,NARENDRA MODI,M,BJP,50.19
10972,2002,78,NARODA,GEN,KODNANI MAYABEN SURENDRABHAI,F,BJP,49.58
10980,2002,79,GANDHINAGAR,GEN,DR. C. J. CHAVDA,M,INC,61.38
10987,2002,80,KALOL-I,GEN,DR. ATUL K. PATEL,M,BJP,68.41
10994,2002,81,KADI,GEN,THAKOR BALDEVJI CHANDUJI,M,INC,79.38
11008,2002,82,JOTANA,SC,ISHWARBHAI DHANABHAI MAKWANA,M,BJP,67.24
11011,2002,83,MEHSANA,GEN,ANILBHAI TRIBHOVANDAS PATEL (APOLLO GROUP),M,BJP,63.91
11018,2002,84,MANSA,GEN,PRO. MANGALBHAI PATEL,M,BJP,66.57
11021,2002,85,VIJAPUR,GEN,PATEL KANTIBHAI RAMABHAI,M,BJP,70.81
11026,2002,86,VISNAGAR,GEN,PATEL PRAHLADBHAI MOHANLAL,M,BJP,70.51
11030,2002,87,KHERALU,GEN,DESAI RAMILABEN RAMBHAI,F,BJP,73.85
11032,2002,88,UNJHA,GEN,PATEL NARAYANBHAI LALLUBHAI,M,BJP,64.67
11035,2002,89,SIDHPUR,GEN,BALVANTSINH CHANDANSINH RAJPUT,M,INC,75.03
11037,2002,90,VAGDOD,GEN,THAKOR JODHAJI GALABJI,M,INC,61.94
11042,2002,91,PATAN,GEN,ANANDIBEN PATEL,F,BJP,58.26
11044,2002,92,CHANASMA,GEN,DESAI MALAJIBHAI DEVAJIBHAI,M,INC,72.7
11048,2002,93,SAMI,GEN,THAKOR DILIPKUMAR VIRAJIBHAI,M,BJP,69.05
11053,2002,94,RADHANPUR,GEN,CHAUDHARY SHANKARBHAI LAGDHIRBHAI,M,BJP,68.22
11057,2002,95,VAV,GEN,RAJPUT HEMAJI DARGHAJI,M,INC,69.6
11060,2002,96,DEODAR,GEN,PATEL BHEMABHAI RAMSINGBHAI,M,IND,72.87
11063,2002,97,KANKREJ,GEN,KHANPURA DHARSHIBHAI LAKHABHAI,M,INC,61.9
11067,2002,98,DEESA,GEN,RABARI GOVABHAI HAMIRABHAI,M,INC,70.57
11070,2002,99,DHANERA,GEN,PATEL HARJIVANBHAI HIRABHAI,M,BJP,68.01
11074,2002,100,PALANPUR,GEN,KACHORIYA KANTILAL DHARAMDAS,M,BJP,63.38
11080,2002,101,VADGAM,SC,DOLAT BHAI PARMAR,M,INC,68.29
11084,2002,102,DANTA,GEN,GADHVI MUKESHKUMAR BHAIRAVDANJI,M,INC,65.65
11086,2002,103,KHEDBRAHMA,ST,AMARSINH BHILABHAI CHAUDHARI,M,INC,67.5
11088,2002,104,IDAR,SC,VORA RAMANLAL ISHWARLAL,M,BJP,70.04
11090,2002,105,BHILODA,GEN,DR. ANIL JOSHIYARA,M,INC,63.18
11094,2002,106,HIMATNAGAR,GEN,CHAVADA RANJITSINH NARSINH,M,BJP,67.35
11098,2002,107,PRANTIJ,GEN,RATHOD DEEPSINH SHANKARSINH,M,BJP,66.82
11102,2002,108,MODASA,GEN,PARMAR DILIPSINH VAKHATSINH,M,BJP,69.06
11106,2002,109,BAYAD,GEN,SOLANKI RAMSINHJI RUPSINHJI,M,INC,72.79
11110,2002,110,MEGHRAJ,GEN,PARMAR BHIKHIBEN GIRVATSINH,F,BJP,64.82
11116,2002,111,SANTRAMPUR,GEN,PANDYA PRABODHKANT DAMODAR,M,BJP,66.48
11120,2002,112,JHALOD,ST,KATARA BHURABHAI JETABHAI,M,BJP,55.28
11123,2002,113,LIMDI,ST,BHURIYA MAHESHBHAI SOMJIBHAI,M,BJP,51.61
11130,2002,114,DOHAD,ST,DAMOR TERSINHBHAI BADIYABHAI,M,BJP,52.37
11133,2002,115,LIMKHEDA,ST,BABUBHAI SONIYABHAI BHABHOR,M,BJP,53.13
11139,2002,116,DEVGADH BARIA,GEN,BACHUBHAI KHABAD,M,BJP,67.05
11142,2002,117,RAJGADH,GEN,CHAUHAN FATESINH VAKHATSINH,M,BJP,61.22
11145,2002,118,HALOL,GEN,PARMAR JAYADRATHSINHJEE CHANDRASINHJEE,M,BJP,69.25
11148,2002,119,KALOL,GEN,CHAUHAN PRABHATSINH PRATAPSINH,M,BJP,73.07
11150,2002,120,GODHRA,GEN,BHATT HARESHKUMAR INDUPRASAD,M,BJP,68.52
11154,2002,121,SHEHRA,GEN,AHIR (BHARWAD) JETHABHAI GHELABHAI,M,BJP,67.4
11157,2002,122,LUNAVADA,GEN,MALIWAD KALUBHAI HIRABHAI,M,BJP,65.37
11163,2002,123,RANDHIKPUR,ST,JASVANTSINH SUMANBHAI BHABHOR,M,BJP,67.53
11166,2002,124,BALASINOR,GEN,RAJESH PATHAK (PAPPU PATHAK),M,BJP,70.6
11168,2002,125,KAPADVANJ,GEN,SHAH BIMAL KUMAR KAYANTILAL,M,BJP,68.5
11171,2002,126,THASRA,GEN,CHAUHAN BHAGVANSINH RAYSINH,M,BJP,65.63
11177,2002,127,UMRETH,GEN,PATEL VISHNUBHAI CHHOTABHAI,M,BJP,71.68
11180,2002,128,KATHLAL,GEN,ZALA GAUTAMBHAI JESANGBHAI,M,INC,62.04
11182,2002,129,MEHMEDABAD,GEN,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,58.96
11188,2002,130,MAHUDHA,GEN,THAKOR NATVARSINH FULSINH,M,INC,63.79
11192,2002,131,NADIAD,GEN,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,65.35
11194,2002,132,CHAKALASI,GEN,VAGHELA SHANKERBHAI DESAIBHAI,M,INC,66.68
11196,2002,133,ANAND,GEN,PATEL DILIPBHAI MANIBHAI,M,BJP,65.03
11201,2002,134,SARSA,GEN,SOLANKI JASVANTSINHJI AMARSINHJI (JASUBHA),M,BJP,69.55
11205,2002,135,PETLAD,GEN,CHANDRAKANT DAHYABHAI PATEL (C.D. PATEL),M,BJP,72.5
11209,2002,136,SOJITRA,SC,AMBALAL ASHABHAI ROHIT,M,BJP,67.82
11211,2002,137,MATAR,GEN,RAKESH RAO ADVOCATE,M,BJP,68.27
11215,2002,138,BORSAD,GEN,SOLANKI BHARATBHAI MADHAVSINH,M,INC,68.67
11218,2002,139,BHADRAN,GEN,PARMAR RAJENDRASINH DHIRSINH,M,INC,65.79
11220,2002,140,CAMBAY,GEN,SHUKAL SHIRISHKUMAR MADHUSUDAN,M,BJP,65.62
11223,2002,141,CHHOTA UDAIPUR,ST,RATHWA SHANKARBHAI VICHHIYABHAI,M,BJP,60.39
11227,2002,142,JETPUR-I,GEN,BARIA VECHATBHAI HAMIRBHAI,M,BJP,67.98
11230,2002,143,NASVADI,ST,BHIL KANTIBHAI TRIKAMBHAI,M,BJP,59.85
11236,2002,144,SANKHEDA,ST,TADVI KANTIBHAI BHAIJIBHAI,M,BJP,64.93
11241,2002,145,DABHOI,GEN,PATEL CHANDRAKANT MOTIBHAI (PROF. C. M. PATEL),M,BJP,69.86
11248,2002,146,SAVLI,GEN,UPENDRASINHJI PRATAPSINHJI GOHIL (BAPU),M,BJP,69.19
11250,2002,147,BARODA CITY,GEN,BHUPENDRA LAKHAWALA,M,BJP,61.24
11258,2002,148,SAYAJIGANJ,GEN,JITENDRA SUKHADIA,M,BJP,58.01
11269,2002,149,RAOPURA,GEN,YOGESH PATEL,M,BJP,57.58
11271,2002,150,VAGHODIA,GEN,MADHUBHAI SHRIVASTAV,M,BJP,64.29
11275,2002,151,BARODA RURAL,GEN,DILUBHA CHUDASAMA,M,BJP,63.2
11283,2002,152,PADRA,GEN,POONAM PARMAR (POONAM RANCHHODSINH PARMAR),M,BJP,72.28
11288,2002,153,KARJAN,SC,KANODIA NARESHKUMAR MITHALAL,M,BJP,74.69
11294,2002,154,JAMBUSAR,GEN,MORI CHHATRASINH PUJABHAI,M,BJP,69.31
