Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,16,JASDAN,GEN,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,INC,57.67
1998,21,JETPUR,GEN,KORAT SAVJIBHAI JIVRAJBHAI,M,BJP,45.52
1998,142,JETPUR-I,GEN,RATHWA MOHANSINH CHOTUBHAI,M,INC,57.74
1998,158,JHAGADIA,ST,VASAVA CHHOTUBHAI AMARSANG,M,JD,63.36
1998,112,JHALOD,ST,MACHHAR DITABHAI BHIMABHAI,M,INC,53.25
1998,24,JODIYA,GEN,KASUNDRA MAGANBHAI AMBABHAI,M,BJP,61.56
1998,82,JOTANA,SC,ISHVARBHAI DHANABHAI MAKWANA,M,BJP,63.54
1998,42,JUNAGADH,GEN,MASHARU MAHENDRABHAI LILADHAR,M,BJP,40.9
1998,81,KADI,GEN,NITIN RATILAL PATEL,M,BJP,70.96
1998,27,KALAWAD,GEN,FALDU RANCHHOD CHANABHAI (R.C.FALDU),M,BJP,53.15
1998,119,KALOL,GEN,CHAUHAN P.P.,M,BJP,55.95
1998,80,KALOL-I,GEN,PATEL SURESHKUMAR CHATURDAS,M,INC,63.47
1998,71,KALUPUR,GEN,SHAIKHMOHMMAD FARUK H. (FARUK SHAIKH),M,INC,60.77
1998,167,KAMREJ,ST,RATHOD RAMANBHAI CHHANABHAI,M,INC,64.87
1998,97,KANKREJ,GEN,VAGHELA MAGANSINH CHIMANSINH,M,BJP,65.9
1998,125,KAPADVANJ,GEN,BIMAL SHAH,M,BJP,59.51
1998,153,KARJAN,SC,DABHI CHANDUBHAI MOTIBHAI,M,INC,63.09
1998,128,KATHLAL,GEN,ZALA GAUTAMBHAI JESANGBHAI,M,AIRJP,60.48
1998,36,KESHOD,SC,RATHOD SAMATBHAI AALABHAI,M,BJP,49.03
1998,75,KHADIA,GEN,ASHOK BHATT,M,BJP,50.52
1998,30,KHAMBHALIA,GEN,CHAVDA KARU NARAN,M,BJP,52.89
1998,103,KHEDBRAHMA,ST,AMARSINH BHILABHAI CHAUDHARY,M,INC,62.42
1998,87,KHERALU,GEN,THAKOR SHREE SHANKARJI OKHAJI,M,INC,70.82
1998,47,KODINAR,GEN,SOLANKI DINUBHAI BOGHABHAI,M,BJP,62.77
1998,53,KUNDLA,GEN,VIRANI KALUBHAI VIRJIBHAI,M,BJP,49.61
1998,33,KUTIYANA,GEN,ODEDARA KARSHAN DULA,M,BJP,42.05
1998,44,LATHI,GEN,BHADANI BECHARBHAI VIRJIBHAI,M,BJP,62.28
1998,9,LIMBDI,GEN,RANA KIRITSINH JEETUBHA,M,BJP,60.54
1998,113,LIMDI,ST,KISHORI BACHUBHAI NATHABHAI,M,INC,41.23
1998,115,LIMKHEDA,ST,PASAYA NAGARSINH GULABSINH,M,INC,44.36
1998,122,LUNAVADA,GEN,SOLANKI SURPALSINH HIMATSINH,M,INC,65.17
1998,130,MAHUDHA,GEN,THAKOR NATVARSINH FULSINH,M,INC,55.89
1998,54,MAHUVA,GEN,DR.KANUBHAI KALASARIA,M,BJP,52.45
1998,165,MAHUVA-I,ST,PATEL DEVDATTKUMAR KIKABHAI,M,BJP,64.07
1998,41,MALIYA,GEN,SOLANKI DEVANANDBHAI SAMATBHAI,M,BJP,59.27
1998,35,MANAVADAR,GEN,SUREJA RATILAL GORDHANBHAI,M,BJP,62.38
1998,62,MANDAL,GEN,PATEL ANANDIBEN MAFATBHAI,F,BJP,62.79
1998,2,MANDVI,GEN,MEHTA SURESHCHANDRA RUPSHANKAR,M,BJP,60.42
1998,34,MANGROL,GEN,KARGATIA BHAGVANJI LAKHABHAI,M,BJP,52.98
1998,162,MANGROL-I,ST,CHAUDHARI RAMANBHAI KANSARABHAI,M,JD,55.74
1998,77,MANINAGAR,GEN,KAMLESH PATEL,M,BJP,41.57
1998,84,MANSA,GEN,PATEL MANGALDAS MADHAVLAL,M,BJP,74.87
1998,137,MATAR,GEN,CHAVDA DHIRUBHAI AMARSING,M,INC,66.09
1998,110,MEGHRAJ,GEN,PATEL SHIVABHAI D.,M,INC,63.76
1998,129,MEHMEDABAD,GEN,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,50.81
1998,83,MEHSANA,GEN,KHODABHAI N.PATEL,M,BJP,62.83
1998,108,MODASA,GEN,PARMAR DILIPSINH VAKHATSINH,M,BJP,67.56
1998,13,MORVI,GEN,AMRUTIYA KANTILAL SHIVABHAI,M,BJP,57.07
1998,180,MOTA PONDHA,ST,PATEL BARAJULBHAI NAVALABHAI,M,INC,54.14
1998,4,MUNDRA,SC,SODHAM PARBAT MAYABHAI,M,BJP,54.1
1998,131,NADIAD,GEN,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,53.29
1998,78,NARODA,GEN,KODNANI MAYABEN SURENDRABHAI,F,BJP,47.15
1998,143,NASVADI,ST,BHIL DHIRUBHAI CHUNILAL,M,INC,53.57
1998,174,NAVSARI,ST,PATEL MANGUBHAI CHHAGANBHAI,M,BJP,58.15
1998,161,NIJHAR,ST,VASAVA PARESHBHAI GOVINDBHAI,M,INC,57.31
1998,168,OLPAD,GEN,PATEL DHANSUKHBHAI NATHUBHAI,M,BJP,49.3
1998,152,PADRA,GEN,JEETSINH SOMSINH PARMAR,M,AIRJP,69.46
1998,100,PALANPUR,GEN,TRIVEDI REKHABEN HITENDRABHAI,F,BJP,60.19
1998,51,PALITANA,GEN,GOTI KURJIBHAI RAMJIBHAI,M,BJP,59.21
1998,181,PARDI,ST,CHANDRAVADAN MAKANJI PATEL,M,BJP,55.01
1998,91,PATAN,GEN,PATEL MOHANBHAI HIRABHAI,M,BJP,55.99
1998,135,PETLAD,GEN,PATEL NIRANJAN PARSOTTAMDAS,M,INC,63.26
1998,32,PORBANDAR,GEN,BOKHIRIYA BABUBHAI BHIMABHAI,M,BJP,53.47
1998,107,PRANTIJ,GEN,RATHOD DIPSINH SHANKARSINH,M,BJP,63.21
1998,94,RADHANPUR,GEN,PATEL SHANKARBHAI LAGDHIRBHAI (SHANKARBHAI,M,BJP,57.66
1998,117,RAJGADH,GEN,VAKIL PARMAR LAXMANSINH MOTISINH,M,INC,51.24
1998,19,RAJKOT RURAL,SC,BABARIYA MADHUBHAI HAMIRBHAI,M,BJP,44.32
1998,17,RAJKOT-I,GEN,RAMESH DHANJIBHAI RUPAPARA,M,BJP,46.27
1998,18,RAJKOT-II,GEN,VALA VAJUBHAI ROODABHAI,M,BJP,45.28
1998,160,RAJPIPLA,ST,VASAVA PREMSINH DEVJIBHAI,M,INC,62.65
1998,48,RAJULA,GEN,SOLANKI HIRABHAI ODHAVAJIBHAI,M,BJP,59.3
1998,73,RAKHIAL,GEN,JHADFIYA GORDHANBHAI P.,M,BJP,52.88
1998,123,RANDHIKPUR,ST,BHABHOR JASWANTSINH SUMANBHAI,M,BJP,59.53
1998,149,RAOPURA,GEN,YOGESH PATEL,M,BJP,50.49
1998,6,RAPAR,GEN,DHIRUBHAI SWARUPCHAND SHAH,M,BJP,51.37
1998,67,SABARMATI,GEN,OZA YATINBHAI NARENDRAKUMAR,M,BJP,52.94
1998,93,SAMI,GEN,THAKOR DILIPKUMAR VIRAJIBHAI,M,BJP,64.78
1998,144,SANKHEDA,ST,BABARBHAI AMBALAL TADVI,M,INC,56.31
1998,111,SANTRAMPUR,GEN,DR.BHAMAT MANSINH VALLABHBHAI,M,INC,59.11
1998,64,SARKHEJ,GEN,SHAH AMIT ANILCHANDRA (AMIT SHAH),M,BJP,45.46
1998,134,SARSA,GEN,PARMAR GOVINDBHAI RAIJIBHAI,M,INC,65.79
1998,146,SAVLI,GEN,CHAUHAN KHUMANSINH RAYSINH,M,INC,64.65
1998,148,SAYAJIGANJ,GEN,JASPALSINGH,M,BJP,49.19
1998,74,SHAHER KOTDA,SC,MANUBHAI PARMAR,M,INC,50.49
1998,70,SHAHPUR,GEN,KAUSHIKKUMAR JAMNADAS PATEL (KAUSHIK PATEL),M,BJP,55.88
1998,121,SHEHRA,GEN,BHARWAD JETHABHAI GHELABHAI,M,SP,59.37
1998,89,SIDHPUR,GEN,JAY NARAYAN VYAS,M,BJP,65.94
1998,52,SIHOR,GEN,KESHUBHAI HIRJIBHAI NAKARANI,M,BJP,62.15
1998,136,SOJITRA,SC,MAKWANA BHARATKUMAR YOGENDRABHAI,M,INC,58.02
1998,38,SOMNATH,GEN,GOHEL CHUNILAL KANJI,M,BJP,61.1
1998,163,SONGADH,ST,VASAVA NAGARBHAI DIVELIYABHAI,M,INC,54.46
1998,170,SURAT CITY EAST,GEN,KHASI GULABDAS NAGINDAS,M,BJP,48.51
1998,169,SURAT CITY NORTH,GEN,GAJERA DHIRUBHAI HARIBHAI,M,BJP,44.73
1998,171,SURAT CITY WEST,GEN,CHAPATWALA HEMANTBHAI CHAMPAKLAL,M,BJP,42.24
